,Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Ward/Branch,Routes Completed,Doors in Route
55,Riverbend Stake Centre,Riverbend Stake,4,2,59,60,1,Rabbit Hill Ward,2,236
56,Gateway Stake Centre,Gateway Stake,1,1,5,17,0,Crawford Plains Ward,1,135
57,North Stake Centre,Edmonton North Stake,2,3,35,70,0,Griesbach Ward,1,370
58,Riverbend Stake Centre,Riverbend Stake,3,1,25,45,0,Woodbend Ward,1,100
59,Gateway Stake Centre,Gateway Stake,2,0,15,40,0,Crawford Plains Ward,1,115
60,North Stake Centre,Edmonton North Stake,2,2,16,60,0,Griesbach Ward,1,200
61,Gateway Stake Centre,Gateway Stake,2,0,20,30,0,Silver Berry Ward,1,198
62,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,25,40,0,Connors Hill Ward,1,235
63,Londonderry Chapel,Bonnie Doon Stake,2,0,20,35,0,Londonderry Ward,1,100
64,Gateway Stake Centre,Gateway Stake,2,1,22,50,0,Ellerslie Ward,1,191
65,North Stake Centre,Edmonton North Stake,2,0,9,20,0,Griesbach Ward,1,100
66,Gateway Stake Centre,Gateway Stake,2,0,31,50,0,Silver Berry Ward,1,27
67,Gateway Stake Centre,Gateway Stake,4,0,26,50,0,Silver Berry Ward,1,168
68,North Stake Centre,Edmonton North Stake,1,4,42,50,0,Namao Ward,1,392
69,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,18,56,0,Forest Heights Ward,1,100
70,Gateway Stake Centre,Gateway Stake,2,3,21,50,1,Crawford Plains Ward,2,317
71,Riverbend Stake Centre,Riverbend Stake,3,0,54,75,0,Greenfield Ward,1,212
72,Gateway Stake Centre,Gateway Stake,1,2,11,30,1,Crawford Plains Ward,2,261
73,Coronation Park Chapel,Edmonton North Stake,1,2,31,45,1,Stony Plain Ward,2,453
74,Gateway Stake Centre,Gateway Stake,2,0,27,40,0,Silver Berry Ward,1,23
75,Gateway Stake Centre,Gateway Stake,2,0,12,25,0,Crawford Plains Ward,1,110
76,Londonderry Chapel,Bonnie Doon Stake,2,0,34,60,1,Clareview Ward,2,32
77,Bearspaw Chapel,Gateway Stake,2,3,37,30,1,Lee Ridge Ward,2,144
78,Gateway Stake Centre,Gateway Stake,2,0,26,35,0,Ellerslie Ward,1,220
79,Londonderry Chapel,Bonnie Doon Stake,2,0,9,45,0,Clareview Ward,1,0
80,Gateway Stake Centre,Gateway Stake,2,0,11,15,0,Ellerslie Ward,1,165
81,Bearspaw Chapel,Gateway Stake,1,7,6,60,1,Wild Rose Ward,2,315
82,Londonderry Chapel,Bonnie Doon Stake,2,2,43,60,1,Londonderry Ward,2,300
83,Londonderry Chapel,Bonnie Doon Stake,2,1,35,60,1,Londonderry Ward,2,250
84,Bearspaw Chapel,Gateway Stake,2,0,8,60,0,Lee Ridge Ward,1,162
85,Coronation Park Chapel,Bonnie Doon Stake,1,1,38,90,1,Coronation Park Ward,2,300
86,Riverbend Stake Centre,Riverbend Stake,1,3,10,30,0,Woodbend Ward,1,10
87,Gateway Stake Centre,Gateway Stake,2,3,20,50,0,Ellerslie Ward,1,219
88,Riverbend Stake Centre,Riverbend Stake,3,0,60,90,0,Terwillegar Park Ward,1,250
89,Londonderry Chapel,Bonnie Doon Stake,1,2,6,45,0,Clareview Ward,1,150
90,Londonderry Chapel,Bonnie Doon Stake,2,0,45,75,0,Londonderry Ward,1,300
91,Gateway Stake Centre,Gateway Stake,2,0,24,40,0,Silver Berry Ward,1,167
92,Londonderry Chapel,Bonnie Doon Stake,2,3,35,60,0,Londonderry Ward,1,180
93,Bearspaw Chapel,Bonnie Doon Stake,2,0,20,45,0,Southgate Ward,1,95
94,Gateway Stake Centre,Gateway Stake,7,7,46,60,0,Rio Vista Ward,1,219
95,Gateway Stake Centre,Gateway Stake,1,1,15,55,1,Crawford Plains Ward,2,236
96,Riverbend Stake Centre,Riverbend Stake,2,0,20,45,0,Rutherford Ward,1,13
97,Bearspaw Chapel,Gateway Stake,4,0,15,45,0,Lee Ridge Ward,1,15
98,Londonderry Chapel,Bonnie Doon Stake,2,2,19,45,0,Londonderry Ward,1,198
99,Coronation Park Chapel,Edmonton North Stake,1,0,30,47,1,Stony Plain Ward,2,155
100,Gateway Stake Centre,Gateway Stake,2,0,35,70,0,Crawford Plains Ward,1,134
101,Londonderry Chapel,Bonnie Doon Stake,2,0,4,10,0,Londonderry Ward,1,0
102,North Stake Centre,Edmonton North Stake,2,4,23,50,0,Griesbach Ward,1,203
103,Londonderry Chapel,Bonnie Doon Stake,2,0,12,50,0,Clareview Ward,1,180
104,Londonderry Chapel,Bonnie Doon Stake,1,3,7,30,0,Londonderry Ward,1,7
105,Riverbend Stake Centre,Riverbend Stake,2,0,40,60,0,Greenfield Ward,1,20
106,Coronation Park Chapel,Bonnie Doon Stake,2,2,72,45,1,Coronation Park Ward,3,63
107,North Stake Centre,Edmonton North Stake,1,2,22,60,0,Griesbach Ward,1,150
108,Bonnie Doon Stake Centre,Bonnie Doon Stake,3,1,40,60,0,Connors Hill Ward,1,160
109,Gateway Stake Centre,Gateway Stake,2,3,20,60,1,Crawford Plains Ward,2,194
110,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,0,33,45,1,Forest Heights Ward,2,130
111,Riverbend Stake Centre,Riverbend Stake,1,2,18,40,0,Rutherford Ward,1,14
112,Gateway Stake Centre,Gateway Stake,2,0,17,40,0,Silver Berry Ward,1,170
113,Riverbend Stake Centre,Riverbend Stake,2,1,12,15,0,Rutherford Ward,1,12
114,North Stake Centre,Edmonton North Stake,3,0,17,45,0,Griesbach Ward,1,13
115,Gateway Stake Centre,Gateway Stake,2,0,37,15,1,Crawford Plains Ward,4,130
116,North Stake Centre,Edmonton North Stake,2,0,12,100,0,Namao Ward,1,175
117,Riverbend Stake Centre,Riverbend Stake,2,2,10,10,0,Rabbit Hill Ward,1,70
118,Riverbend Stake Centre,Riverbend Stake,1,3,50,60,0,Terwillegar Park Ward,1,38
119,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,10,30,0,Connors Hill Ward,1,136
120,Riverbend Stake Centre,Riverbend Stake,4,0,23,45,0,Greenfield Ward,1,192
121,North Stake Centre,Edmonton North Stake,1,3,15,60,0,Griesbach Ward,1,14
122,North Stake Centre,Edmonton North Stake,1,3,7,40,0,Griesbach Ward,1,90
123,Gateway Stake Centre,Gateway Stake,1,0,16,30,0,Crawford Plains Ward,1,135
124,Gateway Stake Centre,Gateway Stake,1,2,28,35,0,Ellerslie Ward,1,203
125,Londonderry Chapel,Bonnie Doon Stake,1,2,12,20,0,Londonderry Ward,1,110
126,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,25,60,0,Connors Hill Ward,1,249
127,Bearspaw Chapel,Gateway Stake,1,2,15,55,0,Lee Ridge Ward,1,158
128,Bearspaw Chapel,Gateway Stake,7,0,17,40,0,Lee Ridge Ward,1,170
129,Gateway Stake Centre,Gateway Stake,2,2,9,20,0,Crawford Plains Ward,1,138
130,Riverbend Stake Centre,Riverbend Stake,4,1,15,15,0,Rabbit Hill Ward,1,80
131,Bearspaw Chapel,Gateway Stake,3,3,55,47,0,Blackmud Creek Ward,1,165
132,Gateway Stake Centre,Gateway Stake,3,2,30,40,1,Crawford Plains Ward,2,256
133,Gateway Stake Centre,Gateway Stake,3,1,40,100,1,Silver Berry Ward,2,419
134,North Stake Centre,Edmonton North Stake,2,2,15,60,0,Griesbach Ward,1,106
135,Coronation Park Chapel,Bonnie Doon Stake,2,2,35,75,1,Coronation Park Ward,2,144
136,Gateway Stake Centre,Gateway Stake,2,1,11,60,1,Silver Berry Ward,2,11
137,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,16,40,0,Forest Heights Ward,1,125
138,Gateway Stake Centre,Gateway Stake,1,2,32,35,0,Lee Ridge Ward,1,173
139,North Stake Centre,Edmonton North Stake,2,0,18,55,0,Griesbach Ward,1,90
140,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,4,32,45,0,Forest Heights Ward,1,200
141,Coronation Park Chapel,Bonnie Doon Stake,3,0,18,45,0,Coronation Park Ward,1,143
142,Riverbend Stake Centre,Riverbend Stake,2,0,44,70,1,Terwillegar Park Ward,1,285
143,Gateway Stake Centre,Gateway Stake,2,3,30,60,1,Crawford Plains Ward,2,23
144,Gateway Stake Centre,Gateway Stake,3,2,30,40,0,Ellerslie Ward,1,210
145,Bearspaw Chapel,Gateway Stake,2,0,35,60,0,Blackmud Creek Ward,1,148
146,Riverbend Stake Centre,Riverbend Stake,2,0,44,60,1,Rutherford Ward,2,446
147,Londonderry Chapel,Bonnie Doon Stake,1,2,35,45,0,Londonderry Ward,1,200
148,Coronation Park Chapel,Bonnie Doon Stake,3,1,117,45,1,Coronation Park Ward,4,403
149,North Stake Centre,Edmonton North Stake,2,0,30,105,1,Griesbach Ward,3,356
150,Londonderry Chapel,Bonnie Doon Stake,2,2,40,70,1,Clareview Ward,2,200
151,Londonderry Chapel,Bonnie Doon Stake,2,0,3,3,0,Clareview Ward,1,0
152,Gateway Stake Centre,Gateway Stake,2,0,30,55,0,Silver Berry Ward,1,174
153,Bearspaw Chapel,Gateway Stake,4,3,26,30,0,Lee Ridge Ward,1,148
154,Riverbend Stake Centre,Riverbend Stake,1,1,24,90,0,Terwillegar Park Ward,1,170
155,Riverbend Stake Centre,Riverbend Stake,2,0,70,90,1,Terwillegar Park Ward,1,312
156,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,20,60,0,Forest Heights Ward,1,120
157,Gateway Stake Centre,Gateway Stake,1,0,26,40,1,Ellerslie Ward,2,0
158,Gateway Stake Centre,Gateway Stake,2,1,23,32,1,Crawford Plains Ward,1,195
159,Londonderry Chapel,Bonnie Doon Stake,2,0,15,30,0,Clareview Ward,1,121
160,Gateway Stake Centre,Gateway Stake,2,3,13,15,0,Crawford Plains Ward,1,115
161,Gateway Stake Centre,Gateway Stake,1,2,20,50,1,Ellerslie Ward,2,260
162,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,1,18,45,0,Forest Heights Ward,1,125
163,Gateway Stake Centre,Gateway Stake,2,1,36,40,0,Lee Ridge Ward,1,145
164,Bearspaw Chapel,Bonnie Doon Stake,5,1,6,15,0,Southgate Ward,1,40
165,Gateway Stake Centre,Gateway Stake,2,2,35,60,0,Ellerslie Ward,1,214
166,Gateway Stake Centre,Gateway Stake,2,0,6,15,0,Crawford Plains Ward,1,168
167,North Stake Centre,Edmonton North Stake,3,2,43,60,1,Griesbach Ward,2,40
168,Riverbend Stake Centre,Riverbend Stake,3,1,19,40,0,Terwillegar Park Ward,1,150
169,North Stake Centre,Edmonton North Stake,2,1,10,52,0,Griesbach Ward,1,120
170,Riverbend Stake Centre,Riverbend Stake,2,1,48,44,1,Rabbit Hill Ward,2,208
171,Bonnie Doon Stake Centre,Bonnie Doon Stake,4,0,42,60,1,Forest Heights Ward,2,194
172,Riverbend Stake Centre,Riverbend Stake,1,2,40,30,0,Woodbend Ward,1,220
173,Londonderry Chapel,Bonnie Doon Stake,1,1,30,60,0,Londonderry Ward,1,100
174,Londonderry Chapel,Bonnie Doon Stake,1,5,25,45,0,Clareview Ward,1,25
175,Coronation Park Chapel,Bonnie Doon Stake,2,1,55,110,1,Coronation Park Ward,2,0
176,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,1,40,150,1,Connors Hill Ward,2,180
177,Riverbend Stake Centre,Riverbend Stake,2,0,50,57,1,Greenfield Ward,1,210
178,Bearspaw Chapel,Gateway Stake,6,5,48,49,0,Blackmud Creek Ward,1,162
179,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,17,51,0,Forest Heights Ward,1,75
180,Riverbend Stake Centre,Riverbend Stake,2,2,65,90,1,Rutherford Ward,2,650
181,Bearspaw Chapel,Gateway Stake,2,2,15,60,0,Blackmud Creek Ward,1,100
182,Gateway Stake Centre,Gateway Stake,2,3,31,50,0,Silver Berry Ward,1,180
183,Londonderry Chapel,Bonnie Doon Stake,2,0,6,35,0,Clareview Ward,1,110
184,Londonderry Chapel,Bonnie Doon Stake,1,0,30,75,1,Londonderry Ward,2,250
185,Coronation Park Chapel,Bonnie Doon Stake,4,0,37,45,1,Coronation Park Ward,2,0
186,Bearspaw Chapel,Bonnie Doon Stake,2,1,10,30,0,Strathcona Married Student Ward,1,90
187,Londonderry Chapel,Bonnie Doon Stake,4,0,17,30,0,Londonderry Ward,1,17
188,Gateway Stake Centre,Gateway Stake,2,2,34,28,0,Ellerslie Ward,1,203
189,Riverbend Stake Centre,Riverbend Stake,1,1,15,15,0,Woodbend Ward,1,8
190,Gateway Stake Centre,Gateway Stake,1,0,14,24,1,Crawford Plains Ward,2,146
191,Riverbend Stake Centre,Riverbend Stake,3,0,52,80,1,Rabbit Hill Ward,2,313
192,Gateway Stake Centre,Gateway Stake,2,3,50,90,1,Crawford Plains Ward,3,460
193,Coronation Park Chapel,Bonnie Doon Stake,2,2,37,57,0,Coronation Park Ward,1,0
194,North Stake Centre,Edmonton North Stake,2,0,23,30,0,Griesbach Ward,1,20
195,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,28,57,1,Forest Heights Ward,2,200
196,North Stake Centre,Edmonton North Stake,2,2,19,30,0,Griesbach Ward,1,100
197,Riverbend Stake Centre,Riverbend Stake,2,0,15,40,0,Woodbend Ward,1,80
198,Riverbend Stake Centre,Riverbend Stake,2,3,27,60,0,Greenfield Ward,1,21
199,Bearspaw Chapel,Bonnie Doon Stake,2,2,9,60,0,Southgate Ward,1,150
200,Gateway Stake Centre,Gateway Stake,2,3,30,35,0,Lee Ridge Ward,1,30
201,Riverbend Stake Centre,Riverbend Stake,1,5,70,60,0,Woodbend Ward,1,350
202,Bearspaw Chapel,Gateway Stake,2,2,20,60,0,Blackmud Creek Ward,1,147
203,Gateway Stake Centre,Gateway Stake,2,4,14,30,0,Ellerslie Ward,1,190
204,Gateway Stake Centre,Gateway Stake,2,0,38,90,0,Silver Berry Ward,1,243
205,Bearspaw Chapel,YSA Stake,1,2,50,60,1,Windsor Park YSA Ward,2,110
206,Coronation Park Chapel,Bonnie Doon Stake,1,1,15,60,0,Coronation Park Ward,1,100
207,Gateway Stake Centre,Gateway Stake,2,0,6,18,1,Crawford Plains Ward,2,136
208,Riverbend Stake Centre,Riverbend Stake,2,1,35,30,0,Woodbend Ward,1,179
209,Riverbend Stake Centre,Riverbend Stake,2,0,8,20,0,Greenfield Ward,1,150
210,Gateway Stake Centre,Gateway Stake,2,4,25,34,0,Ellerslie Ward,1,198
211,Londonderry Chapel,Bonnie Doon Stake,1,0,38,90,1,Clareview Ward,2,300
212,Londonderry Chapel,Bonnie Doon Stake,2,0,28,45,0,Londonderry Ward,1,185
213,North Stake Centre,Edmonton North Stake,2,1,21,45,1,Griesbach Ward,2,150
214,Riverbend Stake Centre,Riverbend Stake,1,1,30,45,0,Rabbit Hill Ward,1,158
215,Riverbend Stake Centre,Riverbend Stake,2,1,46,60,0,Greenfield Ward,1,220
216,Gateway Stake Centre,Gateway Stake,2,1,25,45,0,Silver Berry Ward,1,230
217,Gateway Stake Centre,Gateway Stake,2,1,40,60,1,Ellerslie Ward,1,228
218,Bearspaw Chapel,Bonnie Doon Stake,1,2,31,60,0,Southgate Ward,1,143
219,Bearspaw Chapel,Gateway Stake,2,4,24,40,0,Lee Ridge Ward,1,169
220,Gateway Stake Centre,Gateway Stake,2,0,8,30,0,Crawford Plains Ward,1,144
221,North Stake Centre,Edmonton North Stake,2,1,17,60,0,Griesbach Ward,1,50
222,Gateway Stake Centre,Gateway Stake,2,4,40,37,0,Ellerslie Ward,1,207
223,Riverbend Stake Centre,Riverbend Stake,2,0,44,80,0,Greenfield Ward,1,200
224,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,0,19,60,1,Connors Hill Ward,2,280
225,Gateway Stake Centre,Gateway Stake,2,0,25,30,0,Crawford Plains Ward,1,150
226,North Stake Centre,Edmonton North Stake,1,3,30,75,0,Griesbach Ward,1,100
227,Bearspaw Chapel,Gateway Stake,4,0,24,40,0,Lee Ridge Ward,1,155
228,Riverbend Stake Centre,Riverbend Stake,2,4,45,120,0,Greenfield Ward,1,45
229,Riverbend Stake Centre,Riverbend Stake,2,1,80,70,1,Rabbit Hill Ward,2,400
230,Gateway Stake Centre,Gateway Stake,2,0,24,60,0,Silver Berry Ward,1,220
231,Gateway Stake Centre,Gateway Stake,1,2,32,60,1,Crawford Plains Ward,2,215
232,North Stake Centre,Edmonton North Stake,1,0,5,30,0,Griesbach Ward,1,40
233,Londonderry Chapel,Bonnie Doon Stake,2,4,22,20,0,Clareview Ward,1,0
234,Riverbend Stake Centre,Riverbend Stake,3,0,14,30,0,Rutherford Ward,1,159
235,Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,14,45,0,Strathcona Married Student Ward,1,110
236,Riverbend Stake Centre,Riverbend Stake,3,1,34,60,0,Terwillegar Park Ward,1,150
237,Riverbend Stake Centre,Riverbend Stake,2,0,12,35,0,Rutherford Ward,1,159
238,North Stake Centre,Edmonton North Stake,1,4,22,60,0,Namao Ward,1,236
239,Riverbend Stake Centre,Riverbend Stake,2,2,35,30,0,Rutherford Ward,1,207
240,North Stake Centre,Edmonton North Stake,1,5,16,30,0,Griesbach Ward,1,120
241,Londonderry Chapel,Bonnie Doon Stake,1,4,40,60,1,Clareview Ward,2,400
242,Bearspaw Chapel,Bonnie Doon Stake,4,0,8,45,0,Southgate Ward,1,80
243,Gateway Stake Centre,Gateway Stake,2,3,23,58,0,Lee Ridge Ward,1,23
244,Bonnie Doon Stake Centre,Bonnie Doon Stake,1,3,11,30,1,Forest Heights Ward,2,170
245,Gateway Stake Centre,Gateway Stake,3,1,28,30,0,Crawford Plains Ward,1,123
246,Riverbend Stake Centre,Riverbend Stake,4,0,25,60,0,Terwillegar Park Ward,1,100
247,North Stake Centre,Edmonton North Stake,3,0,16,30,0,Griesbach Ward,1,75
248,Riverbend Stake Centre,Riverbend Stake,2,2,30,25,0,Greenfield Ward,1,196
249,Gateway Stake Centre,Gateway Stake,1,3,32,52,1,Crawford Plains Ward,1,200
250,Gateway Stake Centre,Gateway Stake,1,1,120,70,1,Crawford Plains Ward,6,900
251,Gateway Stake Centre,Gateway Stake,2,3,40,90,1,Crawford Plains Ward,3,380
252,Coronation Park Chapel,Bonnie Doon Stake,2,0,44,60,1,Coronation Park Ward,2,266
253,Londonderry Chapel,Bonnie Doon Stake,2,0,16,60,0,Clareview Ward,1,100
254,Bearspaw Chapel,Gateway Stake,2,1,20,50,0,Lee Ridge Ward,1,158
255,Gateway Stake Centre,Gateway Stake,1,1,25,35,0,Crawford Plains Ward,1,26
256,Londonderry Chapel,Bonnie Doon Stake,2,2,39,60,0,Londonderry Ward,1,0
257,Gateway Stake Centre,Gateway Stake,2,1,44,60,1,Lee Ridge Ward,1,168
258,Gateway Stake Centre,Gateway Stake,2,3,24,60,0,Crawford Plains Ward,1,128
259,Bearspaw Chapel,Bonnie Doon Stake,2,1,25,45,1,Southgate Ward,2,256
260,Bearspaw Chapel,Gateway Stake,2,0,44,75,0,Lee Ridge Ward,1,125
261,Bearspaw Chapel,Gateway Stake,2,3,22,35,1,Lee Ridge Ward,2,207
262,Gateway Stake Centre,Gateway Stake,2,0,20,55,0,Lee Ridge Ward,1,25
263,Gateway Stake Centre,Gateway Stake,2,2,67,100,1,Ellerslie Ward,3,501
264,Bearspaw Chapel,Bonnie Doon Stake,2,5,15,25,0,Southgate Ward,1,115
265,Gateway Stake Centre,Gateway Stake,2,0,36,60,1,Crawford Plains Ward,2,140
266,Gateway Stake Centre,Gateway Stake,2,1,16,30,0,Crawford Plains Ward,1,114
267,Gateway Stake Centre,Gateway Stake,3,1,18,23,0,Ellerslie Ward,1,180
268,Gateway Stake Centre,Gateway Stake,2,0,27,40,1,Crawford Plains Ward,2,267
269,Bearspaw Chapel,Gateway Stake,3,3,37,60,0,Blackmud Creek Ward,1,206
270,Bearspaw Chapel,Bonnie Doon Stake,2,0,12,60,0,Southgate Ward,1,0
