,Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Ward/Branch,Routes Completed,Doors in Route
338,Riverbend Stake Centre,Riverbend Stake,3,1,100,135,1,Rabbit Hill Ward,2,80
339,Londonderry Chapel,Bonnie Doon Stake,4,0,200,240,1,Clareview Ward,7,607
340,Londonderry Chapel,Bonnie Doon Stake,3,1,25,60,0,Clareview Ward,1,25
341,Gateway Stake Centre,Gateway Stake,2,1,45,60,1,Rio Vista Ward,2,36
342,Riverbend Stake Centre,Riverbend Stake,3,1,110,120,1,Rabbit Hill Ward,3,430
343,Bearspaw Chapel,Bonnie Doon Stake,2,0,58,75,1,Southgate Ward,3,0
344,Riverbend Stake Centre,Riverbend Stake,2,3,39,120,0,Greenfield Ward,1,110
345,Gateway Stake Centre,Gateway Stake,2,2,35,80,1,Lee Ridge Ward,2,330
346,Riverbend Stake Centre,Riverbend Stake,2,3,88,40,0,Woodbend Ward,1,380
347,Riverbend Stake Centre,Riverbend Stake,1,3,12,30,0,Rutherford Ward,1,142
348,Gateway Stake Centre,Gateway Stake,3,4,33,30,1,Silver Berry Ward,3,206
349,Bearspaw Chapel,Gateway Stake,3,0,30,45,0,Blackmud Creek Ward,1,171
350,North Stake Centre,Edmonton North Stake,3,0,60,120,1,Griesbach Ward,2,380
351,Bearspaw Chapel,Gateway Stake,4,5,14,30,0,Blackmud Creek Ward,1,0
352,Gateway Stake Centre,Gateway Stake,2,0,23,25,0,Lee Ridge Ward,1,160
353,Gateway Stake Centre,Gateway Stake,1,1,45,90,1,Ellerslie Ward,1,180
354,Riverbend Stake Centre,Riverbend Stake,2,4,80,105,1,Rabbit Hill Ward,4,74
355,Bearspaw Chapel,Bonnie Doon Stake,2,3,20,45,0,Southgate Ward,1,147
356,Riverbend Stake Centre,Riverbend Stake,2,0,100,90,1,Greenfield Ward,2,500
357,Bearspaw Chapel,Gateway Stake,3,0,8,30,0,Blackmud Creek Ward,1,60
358,Riverbend Stake Centre,Riverbend Stake,5,0,28,60,1,Rutherford Ward,2,260
359,Bearspaw Chapel,Gateway Stake,3,4,14,60,1,Lee Ridge Ward,2,147
360,Riverbend Stake Centre,Riverbend Stake,2,2,65,80,1,Woodbend Ward,2,200
361,Bearspaw Chapel,Gateway Stake,3,4,25,35,1,Lee Ridge Ward,2,166
362,Riverbend Stake Centre,Riverbend Stake,2,2,67,60,1,Rutherford Ward,2,377
363,Riverbend Stake Centre,Riverbend Stake,3,0,34,90,1,Rutherford Ward,2,246
364,Bearspaw Chapel,Gateway Stake,4,9,32,75,0,Blackmud Creek Ward,1,178
365,Gateway Stake Centre,Gateway Stake,1,1,25,25,0,Ellerslie Ward,1,226
366,Riverbend Stake Centre,Riverbend Stake,1,1,125,150,1,Terwillegar Park Ward,3,650
367,North Stake Centre,Edmonton North Stake,2,2,145,150,1,Namao Ward,5,2500
368,Riverbend Stake Centre,Riverbend Stake,2,2,40,75,0,Rutherford Ward,1,215
369,Riverbend Stake Centre,Riverbend Stake,3,3,40,60,1,Terwillegar Park Ward,2,280
370,Riverbend Stake Centre,Riverbend Stake,2,0,20,70,0,Woodbend Ward,1,160
371,Riverbend Stake Centre,Riverbend Stake,4,0,65,60,0,Rabbit Hill Ward,1,300
372,Gateway Stake Centre,Gateway Stake,2,2,52,125,1,Crawford Plains Ward,3,324
373,Bearspaw Chapel,Gateway Stake,0,2,20,120,1,Lee Ridge Ward,2,163
374,Bearspaw Chapel,Gateway Stake,0,2,20,60,1,Lee Ridge Ward,1,168
375,Gateway Stake Centre,Gateway Stake,2,2,37,140,1,Crawford Plains Ward,3,321
376,Riverbend Stake Centre,Riverbend Stake,4,0,56,120,1,Rabbit Hill Ward,2,200
377,Riverbend Stake Centre,Riverbend Stake,2,0,35,90,1,Rutherford Ward,2,240
378,North Stake Centre,Edmonton North Stake,1,3,22,40,0,Namao Ward,1,172
379,Gateway Stake Centre,Gateway Stake,2,5,39,45,1,Ellerslie Ward,2,466
380,Bearspaw Chapel,Gateway Stake,1,0,18,120,1,Lee Ridge Ward,2,40
381,Bearspaw Chapel,Gateway Stake,3,0,22,90,1,Lee Ridge Ward,2,158
382,Bearspaw Chapel,Gateway Stake,2,4,41,25,0,Blackmud Creek Ward,1,260
383,Riverbend Stake Centre,Riverbend Stake,1,0,25,80,1,Rabbit Hill Ward,2,273
384,Londonderry Chapel,Bonnie Doon Stake,2,0,1,30,0,Clareview Ward,1,100
385,Gateway Stake Centre,Gateway Stake,1,2,10,30,0,Ellerslie Ward,1,205
386,Bearspaw Chapel,Gateway Stake,2,3,42,30,0,Ellerslie Ward,1,95
387,Gateway Stake Centre,Gateway Stake,2,5,25,45,0,Ellerslie Ward,1,200
